model,feateng,fold,train_f1,test_f1,train_acc,test_acc
LogReg,Word2Vec,8,0.3591198925100864,0.3438792912259771,0.6660990306523448,0.6530398322851153
LogReg,Word2Vec,9,0.359320684668492,0.3673615616255313,0.664658108462143,0.6624737945492662
LogReg,Glove,1,0.5688185896342773,0.54880562118779,0.7206864928599502,0.7078534031413612
LogReg,Glove,2,0.5642264850384932,0.5760249097184155,0.7189833617188524,0.7267015706806282
LogReg,Glove,3,0.5680112439129869,0.5460069484031221,0.7199371233953367,0.710691823899371
LogReg,Glove,4,0.5715840669170648,0.5373400248647068,0.7222949960702122,0.7085953878406709
LogReg,Glove,5,0.5691979202338701,0.5429016701519028,0.7226879748493581,0.70020964360587
LogReg,Glove,6,0.5648397286820074,0.5710334543826673,0.7208540738800104,0.720125786163522
LogReg,Glove,7,0.5696281287964977,0.5530428889534321,0.7221640031438302,0.7064989517819706
LogReg,Glove,8,0.5666266424492462,0.5698083265393764,0.7207230809536285,0.7190775681341719
LogReg,Glove,9,0.5707889525833308,0.5465219686475197,0.7222949960702122,0.7117400419287212
LogReg,RobertaBase,1,0.3727614391338465,0.3019331571332735,0.6635660945892834,0.618848167539267
LogReg,RobertaBase,2,0.386968881920843,0.2994517812015978,0.6693305384514607,0.6146596858638743
LogReg,RobertaBase,3,0.3765532894535259,0.290956202232262,0.6660990306523448,0.6142557651991615
LogReg,RobertaBase,4,0.3828564763173143,0.2891636234395131,0.6659680377259628,0.610062893081761
LogReg,RobertaBase,5,0.3761025257916284,0.2835464835464835,0.6662300235787267,0.6215932914046122
LogReg,RobertaBase,6,0.3875591128508915,0.2944653575864995,0.6681949174744564,0.6111111111111112
LogReg,RobertaBase,7,0.3827267553620087,0.3029162502794446,0.6685878962536023,0.6184486373165619
LogReg,RobertaBase,8,0.3837614050228279,0.2897644105727938,0.6670159811370187,0.6121593291404612
LogReg,RobertaBase,9,0.3802033536905524,0.2910519591511986,0.6663610165051087,0.6142557651991615
LogReg,XLMRoberta,1,0.4107883931767186,0.2958637923131589,0.6743089217869775,0.6041884816753926
LogReg,XLMRoberta,2,0.4027521771362907,0.3061345461060205,0.6698545788025678,0.6083769633507854
LogReg,XLMRoberta,3,0.3941999179763084,0.3152778244040644,0.6678019386953105,0.6048218029350105
LogReg,XLMRoberta,4,0.3883206284143989,0.2960781357007772,0.6655750589468169,0.6016771488469602
LogReg,XLMRoberta,5,0.3899572146110988,0.3204306227695769,0.6668849882106366,0.6215932914046122
LogReg,XLMRoberta,6,0.3948194371954754,0.3196846653065351,0.6675399528425465,0.6215932914046122
LogReg,XLMRoberta,7,0.3882325330547793,0.3104298539051022,0.6637411579774692,0.6226415094339622
LogReg,XLMRoberta,8,0.3976459768922549,0.3073073050791756,0.6671469740634006,0.6257861635220126
LogReg,XLMRoberta,9,0.4008256939379482,0.2843547952591069,0.6683259104008383,0.5985324947589099
LogReg,Finbert,1,0.4249033123140299,0.2820047542198742,0.6733918511725403,0.5685863874345549
LogReg,Finbert,2,0.4117833028179345,0.3109450010833161,0.6669723568714792,0.5968586387434555
LogReg,Finbert,3,0.4255385253107862,0.2927719630915977,0.6722556981922976,0.5838574423480084
LogReg,Finbert,4,0.4130739822649593,0.3332784829792126,0.6672779669897826,0.6048218029350105
LogReg,Finbert,5,0.4109227428857642,0.3179195621629832,0.6674089599161646,0.5985324947589099
LogReg,Finbert,6,0.4234732781349781,0.3067475627634339,0.6721247052659156,0.6016771488469602
LogReg,Finbert,7,0.4134847910764609,0.3081042715189057,0.6667539952842546,0.6111111111111112
LogReg,Finbert,8,0.4247137720434906,0.2872331700188728,0.6743515850144092,0.5817610062893082
LogReg,Finbert,9,0.4270537117654362,0.2895216507086065,0.6740895991616452,0.5953878406708596
LogReg,DistilbertCased,1,0.2979216319342602,0.271773538797818,0.6522992270404822,0.6408376963350786
LogReg,DistilbertCased,2,0.2969742150250319,0.2720998983776281,0.6528232673915891,0.6387434554973822
LogReg,DistilbertCased,3,0.299931997059478,0.2598290598290598,0.6536547026460571,0.6373165618448637
LogReg,DistilbertCased,4,0.2951834679264084,0.2707293714400927,0.6527377521613833,0.6415094339622641
LogReg,DistilbertCased,5,0.2913678963662428,0.2654732601400483,0.6516898087503274,0.6467505241090147
LogReg,DistilbertCased,6,0.2994617606555828,0.2652334166212229,0.653916688498821,0.6341719077568134
LogReg,DistilbertCased,7,0.3026836954876744,0.2707403614787845,0.6556195965417867,0.6341719077568134
LogReg,DistilbertCased,8,0.2935496575894423,0.2718473734174024,0.6524757663086194,0.6341719077568134
LogReg,DistilbertCased,9,0.3084834394683916,0.2623131461961792,0.6565365470264606,0.6352201257861635
LSTM,Word2Vec,1,0.3978204232367218,0.4039654701268216,0.6825625573169134,0.6890052356020943
LSTM,Word2Vec,2,0.39363319409775627,0.40281828825809757,0.6788942748591642,0.680628272251309
LSTM,Word2Vec,3,0.40018893559141117,0.4112454872741309,0.6831281110820016,0.6886792452830188
LSTM,Word2Vec,4,0.3952600923137781,0.37739033311240394,0.6791983232905423,0.6677148846960168
LSTM,Word2Vec,5,0.40295509536496255,0.406781911582861,0.6849620120513492,0.6792452830188679
LSTM,Word2Vec,6,0.4009674677123936,0.42118863049095606,0.675399528425465,0.6907756813417191
LSTM,Word2Vec,7,0.4267803923177838,0.41439379180466257,0.691118679591302,0.6813417190775681
LSTM,Word2Vec,8,0.40464797310177536,0.3744871513287942,0.6833900969347655,0.660377358490566
LSTM,Word2Vec,9,0.4085971408466334,0.40056502932717347,0.6843070474194394,0.6813417190775681
LSTM,Glove,1,0.8117774686084026,0.6398909596977821,0.8695139525743483,0.7518324607329843
LSTM,Glove,2,0.8358776766643308,0.6732090901212099,0.8830079916153544,0.743455497382199
LSTM,Glove,3,0.8156196150448519,0.6410487713465426,0.8729368614094839,0.7348008385744235
LSTM,Glove,4,0.8225621629154238,0.6067518958409779,0.872150903851192,0.6918238993710691
LSTM,Glove,5,0.835053979705024,0.6531004757481816,0.8865601257532093,0.7410901467505241
LSTM,Glove,6,0.805496084090786,0.658982041654352,0.8466072832067069,0.7306079664570231
LSTM,Glove,7,0.8298851589898136,0.6288879669229108,0.8813204086979303,0.7190775681341719
LSTM,Glove,8,0.7978292961370635,0.673845873233014,0.8602305475504323,0.7672955974842768
LSTM,Glove,9,0.8289738742974385,0.6422155587925275,0.8794865077285826,0.7526205450733753
LSTM,RobertaBase,1,0.6548410884124705,0.3296082287181073,0.7692912354251278,0.518324607329843
LSTM,RobertaBase,2,0.6502785336561449,0.33561869257004756,0.768636184986244,0.5780104712041885
LSTM,RobertaBase,3,0.6352405632876743,0.3151820592580436,0.7566151427822898,0.550314465408805
LSTM,RobertaBase,4,0.6089973300036426,0.36395449672780966,0.7397170552790149,0.5880503144654088
LSTM,RobertaBase,5,0.6322821364627546,0.32151939888869374,0.7511134398742468,0.5366876310272537
LSTM,RobertaBase,6,0.6725000752851881,0.34133247741327616,0.7597589730154571,0.4968553459119497
LSTM,RobertaBase,7,0.5254018570988896,0.3279964224223248,0.7076237883154309,0.5859538784067087
LSTM,RobertaBase,8,0.6656371928620185,0.30859078640579635,0.770893371757925,0.5251572327044025
LSTM,RobertaBase,9,0.6077921831264638,0.3083103010419778,0.7584490437516375,0.5744234800838575
